SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,MCX_POS_CODE,DUMMY_ID
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Unknown,PX,ACBPX,199
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Fellow,P8,ACBP8,200
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Strategist,P7,ACBP7,201
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Advisory,P6,ACBP6,202
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Expert,P5,ACBP5,203
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Mastery,P4,ACBP4,204
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Proficiency,P3,ACBP3,205
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Developing,P2,ACBP2,206
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Professional,Entry,P1,ACBP1,207
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Unknown,SX,ACBSX,208
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Specialist,S5,ACBS5,209
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Advanced,S4,ACBS4,210
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Skilled,S3,ACBS3,211
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Proficient,S2,ACBS2,212
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Support,Associate,S1,ACBS1,213
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Unknown,Unknown,XX,ACBXX,214
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Executive,Unknown,EX,ACBEX,215
