ORG_INFO_COMPANY_CODE,YOUR_EEID,COUNTRY_NAME,IND_NAME,POS_CODE,YOUR_CODE,YOUR_TITLE,YOUR_GRADE,EMP_ROLE,SUP_ID,ORG_CODE,EMP_TYPE,EMP_CLASS,TIME_W,BASE_SALARY,CURR_CODE,NUM_MONTHS,STIELIG,BONTGT
Company A,657945,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,934617,GOM,Regular,US - non-Exempt,100%,85914,USD,12,Y,2749
Company A,120286747,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,70026143,STOR,Regular,US - non-Exempt,100%,85500,USD,12,Y,2736
Company A,120174839,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43926433,CMP,Regular,US - non-Exempt,100%,85157,USD,12,Y,2725
Company A,284711,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1124381,GOM,Regular,US - non-Exempt,100%,85000,USD,12,Y,2720
Company A,120289263,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120096149,GOM,Regular,US - non-Exempt,100%,85000,USD,12,Y,2720
Company A,120285051,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1171829,FIN,Regular,US - non-Exempt,100%,84862,USD,12,Y,2716
Company A,162100697,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,658209,GOM,Regular,US - non-Exempt,100%,84856,USD,12,Y,2715
Company A,43247885,Singapore,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M13,Internal,20808673,GOM,Regular,,100%,84244,SGD,13,Y,2696
Company A,1009949,Switzerland,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M05,Internal,304109,GRLK,Regular,,80%,84175.2,CHF,13,Y,3367
Company A,120271377,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43777245,GOM,Regular,US - non-Exempt,100%,83974,USD,12,Y,2687
Company A,40458993,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43328841,GOM,Regular,US - non-Exempt,100%,83479,USD,12,Y,2671
Company A,43648561,United States,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M24,Internal,20252851,PNT,Regular,US - non-Exempt,100%,83374,USD,12,Y,2668
Company A,43165229,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,70006767,EDG,Regular,US - non-Exempt,100%,82683,USD,12,Y,2646
Company A,120291005,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,120283587,EDG,Regular,US - non-Exempt,100%,82611,USD,12,Y,2644
