SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,FAMILY_TITLE,SUB-FAMILY_TITLE,UNIVERSAL_NAVIGATION_GROUP_TITLE,SPECIALIZATION_CODE,SPECIALIZATION_TITLE,INDUSTRY,FUNCTION,DEPARTMENT,CAREER_STREAM_LEVEL,LIBRARY_JOB_CODE,LIBRARY_JOB_TITLE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Director,M6,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,54
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Director,M5,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,M50,CRT.02.081.M50,Translation - Senior Manager II (M5),55
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Manager,M4,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,M40,CRT.02.081.M40,Translation - Senior Manager (M4),56
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Manager,M3,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,M30,CRT.02.081.M30,Translation - Manager (M3),57
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Supervisor,M2,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,M20,CRT.02.081.M20,Translation - Team Leader (Professionals) (M2),58
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Supervisor,M1,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,59
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Unknown,PX,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,60
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Fellow,P8,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,61
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Strategist,P7,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,62
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Advisory,P6,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P50,CRT.02.081.P50,Translation - Expert Professional (P5),63
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Expert,P5,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P50,CRT.02.081.P50,Translation - Expert Professional (P5),64
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Mastery,P4,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P40,CRT.02.081.P40,Translation - Specialist Professional (P4),65
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Proficiency,P3,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P30,CRT.02.081.P30,Translation - Senior Professional (P3),66
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Developing,P2,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P20,CRT.02.081.P20,Translation - Experienced Professional (P2),67
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Entry,P1,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,P10,CRT.02.081.P10,Translation - Entry Professional (P1),68
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Unknown,SX,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,,,,69
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Specialist,S5,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,,,,70
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Advanced,S4,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,S40,CRT.02.999.S40,Other Media/Communications Creative & Design - Specialist Para-Professional (S4),71
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Skilled,S3,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,S30,CRT.02.999.S30,Other Media/Communications Creative & Design - Senior Para-Professional (S3),72
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Proficient,S2,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,S20,CRT.02.999.S20,Other Media/Communications Creative & Design - Experienced Para-Professional (S2),73
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Associate,S1,Creative & Design,Media/Communications Creative & Design,,CRT.02.999,Other Media/Communications Creative & Design,Cross Industry,,,S10,CRT.02.999.S10,Other Media/Communications Creative & Design - Entry Para-Professional (S1),74
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Unknown,Unknown,XX,,,,,,,,,,,,75
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Executive,Unknown,EX,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,76
